"netease_id","qq_id","name","artist","album","ne_name","ne_artist","qq_name","qq_artist","match_source","synced"
"27759600","103061880","Five Hundred Miles","Justin Timberlake","Inside Llewyn Davis: Original Soundtrack Recording","Five Hundred Miles","Justin Timberlake","Five Hundred Miles","Justin Timberlake","manual","1"
"27946894","617142243","Silver Scrapes","英雄联盟","最新热歌慢摇16","Silver Scrapes","英雄联盟","","","manual","1"
"27969844","240460430","Wings (feat. Casey Lee Williams)","Jeff Williams","RWBY, Vol. 1 (Music from the Rooster Teeth Series)","Wings (feat. Casey Lee Williams)","Jeff Williams","Wings (feat. Casey Lee Williams)","Jeff Williams","manual","1"
"28009051","105856112","没有理想的人不伤心","新裤子","生命因你而火热","没有理想的人不伤心","新裤子","","","manual","1"
"28018264","2635393","銀色飛行船","supercell","ZIGAEXPERIENTIA","銀色飛行船","supercell","銀色飛行船","supercell","manual","1"
"28018269","5148865","Daisy","R・O・N","Daisy","Daisy","R・O・N","","","manual","1"
"28138493","213944985","锦鲤抄","银临","锦鲤抄","锦鲤抄","银临","","","manual","1"
"28181103","5131923","步步","五月天","步步 自选作品辑","步步","五月天","步步","五月天","manual","1"
"28228004","288508587","太陽と向日葵","Flower","Flower","太陽と向日葵","Flower","","","manual","1"
"28453011","276530832","寸缕","河图","河图作品合集","寸缕","河图","寸缕","河图","manual","1"
"28457932","5453330","高山低谷","林奕匡","3","高山低谷","林奕匡","高山低谷","林奕匡","manual","1"
"28587152","616871472","さがしもの","ハンバート ハンバート","おかえりなさい","さがしもの","ハンバート ハンバート","","","manual","1"
"28661660","5002187","INNOCENCE","藍井エイル","INNOCENCE","INNOCENCE","藍井エイル","","","manual","1"
"28830803","2458612","秋桜","柴田淳","COVER 70's","秋桜","柴田淳","秋桜","柴田淳","manual","1"
"28854949","102219626","こんな世界、知りたくなかった","沢井美空","こんな世界、知りたくなかった。","こんな世界、知りたくなかった","沢井美空","","","manual","1"
"28885472","255034567","ヤキモチ","高橋優","今、そこにある明滅と群生","ヤキモチ","高橋優","","","manual","1"
"28923579","7155491","Fire","Gavin DeGraw","Fire","Fire","Gavin DeGraw","Fire","Gavin DeGraw","manual","1"
"29017078","293571494","unravel","TK from 凛として時雨","Fantastic Magic","unravel","TK from 凛として時雨","","","manual","1"
"29019227","203723776","Sugar","Maroon 5","V","Sugar","Maroon 5","Sugar","Maroon 5","manual","1"
"29298283","201479732","The Carol of the Old Ones","H. P. Lovecraft Historical Society","A Very Scary Solstice","The Carol of the Old Ones","H. P. Lovecraft Historical Society","The Carol of the Old Ones","H. P. Lovecraft Historical Society","manual","1"
"29401226","203514080","Warriors","Imagine Dragons","Warriors (Official Anthem of League of Legends 2014 World Championship)","Warriors","Imagine Dragons","Warriors","Imagine Dragons","manual","1"
"29593497","142203","少女的祈祷","杨千嬅","Kiss Me Soft avep1","少女的祈祷","杨千嬅","","","manual","1"
"29732992","106270440","光るなら","Goose house","光るなら","光るなら","Goose house","光るなら","Goose house","manual","1"
"29794281","101369881","my sweetest one","Aimer","broKen NIGHT / holLow wORlD","my sweetest one","Aimer","my sweetest one","Aimer","manual","1"
"30284543","101821458","色彩","坂本真綾","幸せについて私が知っている５つの方法／色彩","色彩","坂本真綾","色彩","坂本真綾","manual","1"
"30284550","101836541","カラフル。","沢井美空","カラフル。","カラフル。","沢井美空","カラフル。","沢井美空","manual","1"
"30482372","102670663","高潔なる教皇","菅野祐悟","ジョジョの奇妙な冒険 スターダストクルセイダース O.S.T[Departure]","高潔なる教皇","菅野祐悟","","","manual","1"
"30798531","108898519","Call your name <MODv>","澤野弘之","進撃の巨人展","Call your name <MODv>","澤野弘之","","","manual","1"
"30953009","102193601","See You Again","Wiz Khalifa","Furious 7: Original Motion Picture Soundtrack (Deluxe)","See You Again","Wiz Khalifa","See You Again (feat. Charlie Puth)","Wiz Khalifa","manual","1"
"30967261","102679605","Immortals","Fall Out Boy","ベイマックス オリジナル・サウンドトラック","Immortals","Fall Out Boy","","","manual","1"
"31066263","2548871","名前のない怪物","EGOIST","「PSYCHO-PASS サイコパス」Complete Original Soundtrack 2","名前のない怪物","EGOIST","","","manual","1"
"31134830","7216774","こんな世界、知りたくなかった。","沢井美空","憂鬱日和。","こんな世界、知りたくなかった。","沢井美空","こんな世界、知りたくなかった。","沢井美空","manual","1"
"32069952","108657069","Entorevolution","Bernis","NEGA FRAGMENTS","Entorevolution","Bernis","Entorevolution","Bernis","manual","1"
"32272862","5095673","あなたを想いたい","小木曽雪菜","WHITE ALBUM2 Original Soundtrack ～setsuna～","あなたを想いたい","小木曽雪菜","","","manual","1"
"32358160","288607605","初恋","村下孝蔵","七夕夜想曲~村下孝蔵最高選曲集 其の壱","初恋","村下孝蔵","初恋 (アルバム・ヴァージョン)","村下孝蔵","manual","1"
"32358691","102627227","Brave Shine","Aimer","Brave Shine (期間生産限定アニメ盤)","Brave Shine","Aimer","Brave Shine","Aimer","manual","1"
"32431066","216483178","神のまにまに","初音ミク","聖槍爆裂ボーイ","神のまにまに","初音ミク","ありがとう…","KOKIA","manual","1"
"33035002","246588508","ほしぞら","KAKO♪","120円の春 Original SOUND TRACKS","ほしぞら","KAKO♪","","","manual","1"
"3325884349","624265156","Give Me Something (for Arknights Endfield)","OneRepublic","Give Me Something (for Arknights Endfield)","Give Me Something (for Arknights Endfield)","OneRepublic","Give Me Something (for Arknights Endfield)","OneRepublic","name_artist","1"
"33316372","211748007","ウルトラの奇跡","Project DMM","ウルトラマンメビウス ソング・コレクション","ウルトラの奇跡","Project DMM","ウルトラの奇跡","Project DMM","manual","1"
"3342981041","637536475","铁花飞","Mili","铁花飞","铁花飞","Mili","鐵花飛","Mili","manual","1"
"3370944459","657428009","宜","铁痕电台-MSR","宜","宜","铁痕电台-MSR","宜","铁痕电台-MSR","name_artist","1"
"3375918502","661140351","Innocence","塞壬唱片-MSR","Innocence","Innocence","塞壬唱片-MSR","Innocence","塞壬唱片-MSR","manual","1"
"35288978","104376938","Worlds Collide","英雄联盟","Worlds Collide","Worlds Collide","英雄联盟","","","manual","1"
"354500","6589021","千年之恋","F.I.R.","无限","千年之恋","F.I.R.","千年之恋","F.I.R.飞儿乐团","manual","1"
"354588","233555","Lydia","F.I.R.","飞儿乐团","Lydia","F.I.R.","Lydia","F.I.R.飞儿乐团","manual","1"
